victim,variant,mean_ASR,std_ASR,cv_ASR_%
Gemma,base,0.043333333333333335,0.005773502691896256,13.323467750529822
Gemma,final,0.03,0.005,16.666666666666668
Gemma,single,0.043333333333333335,0.0028867513459481303,6.661733875264916
Qwen,base,0.04,0.022912878474779203,57.282196186948006
Qwen,final,0.03333333333333333,0.014433756729740645,43.30127018922194
Qwen,single,0.06333333333333334,0.02753785273643051,43.48082011015343
TinyLlama,base,0.3233333333333333,0.012583057392117934,3.89166723467565
TinyLlama,final,0.355,0.014999999999999958,4.2253521126760445
TinyLlama,single,0.33166666666666667,0.028431203515386635,8.572222165443206
