victim,variant,pearson_r,pearson_p,spearman_rho,spearman_p,n
Gemma,base,-0.015580813573799366,0.7032940133586998,0.01491414441417856,0.7154257673600918,600
Gemma,final,0.06408201366475794,0.116876238726172,0.006910945919327158,0.8658501934219226,600
Gemma,single,-0.03099724496615951,0.4485269440455372,-0.033631937672688475,0.41089161786004036,600
Qwen,base,-0.01715445985281975,0.6749593790074185,0.0035607932112724982,0.9306399915639337,600
Qwen,final,-0.06458324483289432,0.11403562744817854,-0.08163378352817005,0.04563235089017926,600
Qwen,single,0.05086584019144276,0.2134403896334257,0.022542214967994134,0.5815734774693084,600
TinyLlama,base,0.0815729943281281,0.045794245566754106,0.04272610059623805,0.2960848235513905,600
TinyLlama,final,-0.07061093520505352,0.08395983745055165,-0.08817813309269278,0.030802230886562445,600
TinyLlama,single,0.005995565520229627,0.8834826227920415,-0.018907532361362136,0.6439281597022694,600
GLOBAL,ALL,0.0034682093281412757,0.798875984309231,-0.009282131940159498,0.4952696887968313,5400
